header,date,link,brief,tags
"ВСУ признали, что системам Patriot сложно перехватывать российские ракеты ",13:58 24.05.2025,https://ria.ru/20250524/vsu-2018843832.html,Командир ВСУ Игнат: системам ПВО Patriot сложно перехватывать российские ракеты,"Вооруженные силы Украины,В мире,Украина"
Минобороны показало кадры уничтожения склада боеприпасов ВСУ в зоне СВО ,13:15 24.05.2025,https://ria.ru/20250524/minoborony-2018837640.html,Минобороны показало видео уничтожения склада боеприпасов на Донецком направлении,"Специальная военная операция на Украине,Министерство обороны РФ (Минобороны РФ),В мире"
Источник рассказал подробности визита главы МИД Турции в Россию ,13:14 24.05.2025,https://ria.ru/20250524/turtsiya-2018837391.html,Фидан заявит о готовности Анкары продолжить роль посредника между РФ и Украиной,"В мире,Россия,Турция,Украина,Хакан Фидан,Владимир Путин,Владимир Мединский,Вооруженные силы Украины"
Глава МИД Турции приедет в Россию с рабочим визитом ,12:55 24.05.2025,https://ria.ru/20250524/fidan-2018835408.html,Глава МИД Турции Фидан 26-27 мая приедет в Россию с рабочим визитом,"Турция,Россия,В мире,Хакан Фидан"
"""Заставят Москву"". Зеленский выдвинул дерзкий план против России ",12:51 24.05.2025,https://ria.ru/20250524/zelenskiy-2018835052.html,Зеленский призвал ввести новые санкции против России ради прекращения огня,"В мире,Россия,Украина,Москва,Сергей Лавров,Владимир Зеленский,Переговоры России и Украины в Стамбуле — 2025"
"Группировка ""Юг"" уничтожила до 280 боевиков ВСУ ",12:37 24.05.2025,https://ria.ru/20250524/vsu-2018834142.html,"Минобороны: ВСУ потеряли более 280 военных в зоне действий ""Южной"" группировки","Специальная военная операция на Украине,В мире,Северск,Константиновка,Вооруженные силы Украины,Министерство обороны РФ (Минобороны РФ)"
"Группировка ""Север"" за сутки уничтожила до 155 боевиков ВСУ ",12:35 24.05.2025,https://ria.ru/20250524/vsu-2018833986.html,"Минобороны: ВСУ потеряли более 155 военных в зоне действий группировки ""Север""","Специальная военная операция на Украине,В мире,Сумская область,Харьковская область,Вооруженные силы Украины,Министерство обороны РФ (Минобороны РФ)"
"Группировка ""Днепр"" уничтожила до 70 боевиков ВСУ ",12:30 24.05.2025,https://ria.ru/20250524/dnepr-2018833363.html,"Группировка ""Днепр"" уничтожила до 70 боевиков ВСУ и две станции РЭЮ","Специальная военная операция на Украине,Украина,В мире,Россия,Запорожская область,Днепропетровская область,Вооруженные силы Украины"
"Группировка ""Центр"" за сутки уничтожила до 410 боевиков ВСУ ",12:21 24.05.2025,https://ria.ru/20250524/svo-2018832108.html,"Минобороны: группировка ""Центр"" за сутки уничтожила до 410 боевиков ВСУ","Специальная военная операция на Украине,Россия,Вооруженные силы Украины,Алексеевка,США,В мире,Министерство обороны РФ (Минобороны РФ)"
"Британцы устали от темы украинского конфликта, заявил Келин ",12:12 24.05.2025,https://ria.ru/20250524/kelin-2018831330.html,Посол Келин: британцы устали содержать украинских беженцев,"В мире,Великобритания,Украина,Россия,Андрей Келин"
Ход Британии против России вызвал недоумение на Западе ,12:03 24.05.2025,https://ria.ru/20250524/britaniya-2018830246.html,Христофору осудил расследование Британией связи поджога дома Стармера с РФ,"В мире,Россия,Великобритания,Кир Стармер,Лондон"
Лавров высказался о формировании многополярного мира ,12:03 24.05.2025,https://ria.ru/20250524/lavrov-2018830087.html,Лавров: формирование многополярного мира остается важной и стержневой тенденцией,"В мире,Россия,Юг,Восток,Сергей Лавров"
Депутат Журавлев посоветовал Дурову покинуть Францию ,12:00 24.05.2025,https://ria.ru/20250524/gosduma-2018829592.html,Депутат Журавлев посоветовал Дурову покинуть Францию при первой возможности,"В мире,Франция,США,Дубай,Павел Дуров,Алексей Журавлев"
"Захарова рассказала, зачем Макрон арестовал Дурова ",11:44 24.05.2025,https://ria.ru/20250524/zaharova-2018828120.html,Захарова: Макрон арестовал Дурова для управления выборами в Румынии,"В мире,Румыния,Франция,Россия,Павел Дуров,Эммануэль Макрон,Мария Захарова,Telegram,Президентские выборы в Румынии — 2025,Задержание Павла Дурова во Франции"
"Медведев упомянул ""радиостанцию Судного дня"", говоря о Европе и Украине ",11:36 24.05.2025,https://ria.ru/20250524/medvedev-2018827119.html,Медведев: после попыток ВСУ запугать гостей на Дне Победы наступила тишина в ЕС,"Россия,Европа,Украина,Дмитрий Медведев,Вооруженные силы Украины,В мире"
СБУ заочно осудила главу Дагестана ,11:19 24.05.2025,https://ria.ru/20250524/sbu-2018825576.html,СБУ заочно вынесла обвинительный приговор главе Дагестана Сергею Меликову,"Россия,Служба безопасности Украины,Facebook,В мире,Сергей Меликов,Республика Дагестан"
Bloomberg: ЕС изучает возможность отключения более 20 банков от SWIFT ,10:22 24.05.2025,https://ria.ru/20250524/bloomberg-2018819250.html,Bloomberg: ЕС может отключить более 20 банков от SWIFT в рамках санкций,"Россия,Евросоюз,SWIFT,В мире"
Медведев: в Европе поднимут визг о перемирии и санкциях ,10:11 24.05.2025,https://ria.ru/20250524/svo-2018817934.html,Медведев: на Западе поднимут визг о необходимости перемирия на Украине,"Специальная военная операция на Украине,В мире,Россия,Париж,Берлин (город),Дмитрий Медведев,Вооруженные силы Украины"
На Западе высказались о масштабном обмене пленными между Россией и Украиной ,10:07 24.05.2025,https://ria.ru/20250524/obmen-2018817126.html,Дизен: масштабный обмен пленными России и Украины случился не благодаря Европе,"В мире,Россия,Украина,Москва,Гленн Дизен,Вооруженные силы Украины,Переговоры России и Украины в Стамбуле — 2025"
Украинская армия за сутки 35 раз обстреляла Херсонскую область ,09:53 24.05.2025,https://ria.ru/20250524/svo-2018815630.html,ВСУ за сутки 35 раз обстреляли населенные пункты на левом берегу Днепра,"Специальная военная операция на Украине,В мире,Днепр (город),Херсонская область,Новая Каховка,Вооруженные силы Украины"
Последняя партия: как русская княгиня спасла чемпиона мира ,08:05 24.05.2025,https://ria.ru/20250524/shakhmaty-2018728283.html,None,"В мире,Куба,Америка,Гавана,Общество"
СМИ: одна из стран Азии пошла на сближение с Россией ,07:47 24.05.2025,https://ria.ru/20250524/malayziya-2018806659.html,SCMP: Запад опасается сближения Малайзии с Россией и Китаем,"В мире,Малайзия,Китай,Россия,Анвар Ибрагим (премьер-министр Малайзии),Си Цзиньпин,Владимир Путин,БРИКС,G7"
"""Пошел отсюда"": в США восхитились одним действием Путина ",06:32 24.05.2025,https://ria.ru/20250524/putin-2018804881.html,"МакГоверн: Путин объяснил Трампу, как будет продвигаться процесс урегулирования","В мире,Украина,Москва,США,Владимир Путин,Рэй Макговерн,Дональд Трамп"
"СМИ: Мозамбик расследует нападение на океанографическое судно ""Атлантида"" ",06:08 24.05.2025,https://ria.ru/20250524/mozambik-2018804460.html,"Мозамбик расследует нападение на российское океанографическое судно ""Атлантида""","В мире,Мозамбик,Россия,ЮАР"
Келин оценил схему регистрации иностранного влияния в Британии ,06:03 24.05.2025,https://ria.ru/20250524/posol-2018804185.html,Келин: FIRS противоречит духу и букве международных актов о правах человека,"В мире,Великобритания,Россия,Лондон,Андрей Келин"
"Раскрыто, какую работу предлагают украинцам в Европе ",05:40 24.05.2025,https://ria.ru/20250524/rabota-2018803856.html,Украинцам в Европе предлагают убираться в кемпингах и собирать киндер-сюрпризы,"В мире,Технологии,Европа,Чехия,Польша"
Экс-депутат Рады раскрыл Такеру Карлсону тайну Зеленского ,05:31 24.05.2025,https://ria.ru/20250524/zelenskiy-2018803168.html,Экс-депутат Новинский: в основе политики Зеленского лежит атмосфера страха,"В мире,Украина,США,Владимир Зеленский,Вадим Новинский,Такер Карлсон,Верховная Рада Украины"
Эксперт оценил позицию Трампа по переговорам по Украине ,04:48 24.05.2025,https://ria.ru/20250524/tramp-2018801306.html,"Ученый Абиру: Трамп фактически принял, что РФ продолжит диалог, не прекращая СВО","Специальная военная операция на Украине,Россия,Стамбул,Украина,В мире,Дональд Трамп,Владимир Путин,Владимир Мединский,Евросоюз"
Воевавшего за ВСУ австралийского наемника несколько раз не приняли в армию ,04:32 24.05.2025,https://ria.ru/20250524/vsu-2018801027.html,Воевавшего за ВСУ австралийского наемника Листа несколько раз не приняли в армию,"В мире,Украина,Россия,Донецкая Народная Республика,Мария Захарова,Сергей Лавров,Вооруженные силы Украины"
"""Придется пойти на уступки"": в США сделали дерзкое заявление о России ",04:07 24.05.2025,https://ria.ru/20250524/kapitulyatsiya-2018800376.html,Экс-аналитик ЦРУ Джонсон: Россия заставит Украину безоговорочно капитулировать,"Специальная военная операция на Украине,В мире,Россия,Украина,Киев,Ларри Джонсон"
СМИ: более 100 сотрудников СНБ США отправили в административный отпуск ,03:49 24.05.2025,https://ria.ru/20250524/ssha-2018800074.html,CNN: более 100 сотрудников СНБ Белого дома отправлены в административный отпуск,"В мире,США,Дональд Трамп,Марко Рубио,Министерство обороны США"
"""Какого черта?"" Произошедшее с Зеленским вызвало истерику в Раде ",03:16 24.05.2025,https://ria.ru/20250524/dubinskiy-2018799184.html,Дубинский: Зеленский становится посмешищем для всего мира,"В мире,Россия,Владимир Зеленский,Александр Дубинский,Верховная Рада Украины"
Трамп распорядился обеспечить строительство десяти ядерных реакторов в США ,02:55 24.05.2025,https://ria.ru/20250524/tramp-2018798370.html,Трамп распорядился обеспечить строительство десяти ядерных реакторов к 2030 году,"В мире,США,Дональд Трамп"
СМИ: США и Иран обсудят ядерную программу после 5-го раунда переговоров ,01:55 24.05.2025,https://ria.ru/20250524/iran-2018796419.html,WSJ: США и Иран обсудят ядерную программу Тегерана после 5-го раунда переговоров,"В мире,Иран,США,Рим,Аббас Аракчи,Стив Уиткофф,Али Хаменеи"
В Раде оценили пуски БПЛА ВСУ по России  ,01:36 24.05.2025,https://ria.ru/20250524/rada-2018795619.html,Дмитрук: пуски БПЛА ВСУ по России являются суицидальным шоу во имя Зеленского,"В мире,Украина,Россия,Москва,Владимир Зеленский,Артем Дмитрук,Сергей Лавров,Верховная Рада Украины,Переговоры России и Украины в Стамбуле — 2025"
"""Тройной захват"": в Британии остались в шоке от тактики России в зоне СВО ",01:20 24.05.2025,https://ria.ru/20250524/taktika-2018795213.html,Telegraph: ВС России перешли в зоне СВО к тактике тройного удушающего захвата,"В мире,Россия,Вооруженные силы Украины,Украина"
В Германии забили тревогу из-за немецких войск на границе России ,01:07 24.05.2025,https://ria.ru/20250524/germaniya-2018794130.html,Вагенкнехт: Германия должна отозвать войска с российской границы,"В мире,Литва,Германия,Россия,Сара Вагенкнехт,Арвидас Анушаускас,Борис Писториус"
Пентагон заключил контракты на ремонт боевых кораблей прибрежной зоны ,01:05 24.05.2025,https://ria.ru/20250524/pentagon-2018793974.html,"Пентагон заключил контракты на ремонт кораблей прибрежной зоны на $2,6 миллиарда","В мире,Сан-Диего,Калифорния,Министерство обороны США,BAE Systems,General Dynamics"
СМИ: Британия расследует возможную связь поджога дома Стармера с Россией ,00:59 24.05.2025,https://ria.ru/20250524/britaniya-2018793653.html,FT: Британия расследует потенциальную связь поджога дома Стармера с Россией,"В мире,Великобритания,Россия,Украина,Кир Стармер,Жилье"
"Трамп ждет от Сирии шагов в ответ на облегчение санкций, заявил Рубио ",00:48 24.05.2025,https://ria.ru/20250524/rubio-2018793308.html,Рубио: Трамп ждет от Сирии быстрых шагов в ответ на облегчение санкций,"В мире,Сирия,США,Марко Рубио,Дональд Трамп"
Рубио прокомментировал решение США приостановить санкции против Сирии ,00:47 24.05.2025,https://ria.ru/20250524/rubio-2018793130.html,Рубио: решение США по Сирии стало первым шагом к новым отношениям между странами,"В мире,Сирия,США,Марко Рубио,Дональд Трамп"
США приостановили действие санкций против Сирии ,00:37 24.05.2025,https://ria.ru/20250524/sanktsii-2018792401.html,Рубио: США приостановили действие санкций против Сирии на 180 дней,"В мире,США,Сирия,Дамаск (город),Марко Рубио"
СМИ: Трамп проводит реформу Совета по национальной безопасности Белого дома ,00:21 24.05.2025,https://ria.ru/20250524/tramp-2018791821.html,"Axios: Трамп и Рубио проводят реформу СНБ, видя в нем ""глубинное государство""","В мире,США,Дональд Трамп,Марко Рубио,Майк Уолтц,Министерство обороны США,ООН"
"Пассажиры частного самолета, упавшего в четверг в Калифорнии, погибли ",00:16 24.05.2025,https://ria.ru/20250524/samolet-2018791610.html,"Все пассажиры частного самолета, упавшего в четверг в Сан-Диего, погибли","Сан-Диего,В мире,Калифорния,США,Происшествия"
В Совфеде прокомментировали заявление Залужного о границах Украины ,23:55 23.05.2025,https://ria.ru/20250523/zaluzhnyy-2018790808.html,Ковитиди: заявление Залужного о границах Украины стало политическим прорывом,"В мире,Россия,Украина,Республика Крым,Валерий Залужный,Ольга Ковитиди,Сергей Лавров,Вооруженные силы Украины,Совет Федерации РФ,ООН"
"""Это капитуляция"". В Киеве обрушились на замглавы офиса Зеленского ",23:45 23.05.2025,https://ria.ru/20250523/dmitruk-2018789975.html,"Дмитрук: слова Верещук показывают, что украинская власть не хочет мира","В мире,Украина,Россия,Киев,Ирина Верещук,Владимир Зеленский,Артем Дмитрук,Верховная Рада Украины"
Число пострадавших при нападении в Гамбурге выросло до 18 человек ,23:42 23.05.2025,https://ria.ru/20250523/germaniya-2018789598.html,NDR: число пострадавших при нападении с ножом на вокзале Гамбурга выросло до 18,"В мире,Гамбург (город),Германия"
США сняли санкции с ряда сирийских банков ,23:31 23.05.2025,https://ria.ru/20250523/ssha-2018789123.html,США сняли санкции с сирийских авиалиний и ряда банков,"США,Сирия,Иран,Россия,Министерство финансов США,В мире"
"США выпустили лицензию, разрешающую операции в отношении Сирии ",23:28 23.05.2025,https://ria.ru/20250523/ssha-2018789028.html,"Минфин: США выпустили лицензию, разрешающую операции в отношении Сирии","США,Сирия,Вашингтон (штат),Министерство финансов США,В мире"
В Париже вынесли приговор по делу об ограблении Ким Кардашьян ,23:20 23.05.2025,https://ria.ru/20250523/parizh-2018788692.html,Суд в Париже вынес приговор десяти обвиняемым в ограблении Ким Кардашьян,"Шоубиз,В мире,Париж,Кимберли Кардашян"
На уругвайском пляже нашли останки ленивца возрастом восемь миллионов лет ,23:20 23.05.2025,https://ria.ru/20250523/urugvaj-2018788516.html,В Уругвае нашли останки гигантского ленивца возрастом около восьми миллионов лет,"Южная Америка,Уругвай,В мире"
Контейнеровоз сел на мель у дома норвежца из-за уснувшего члена экипажа ,23:15 23.05.2025,https://ria.ru/20250523/norvegiya-2018788284.html,"Члена экипажа судна, севшего на мель в Норвегии, обвинили в небрежном управлении","В мире,Норвегия,Украина"
Полиция Гамбурга не располагает данными о политических мотивах нападавшей ,23:13 23.05.2025,https://ria.ru/20250523/gamburg-2018788107.html,"Spiegel: у женщины, напавшей с ножом в Гамбурге, не было политических мотивов","В мире,Гамбург (город),Германия,Фридрих Мерц"
В США возобновили разработку месторождения по добыче урана и ванадия ,22:58 23.05.2025,https://ria.ru/20250523/ssha-2018787322.html,МВД США одобрило возобновление добычи урана и ванадия в штате Юта,"США,Юта,Сан-Хуан (Аргентина),Дональд Трамп,В мире"
Володин обратился к Зеленскому с призывом ,22:51 23.05.2025,https://ria.ru/20250523/gd-2018786588.html,"Володин: Зеленский и ЕС должны осознать, что ВС России наступают по всему фронту","В мире,Киев,Европа,США,Вячеслав Володин,Госдума РФ"
В США спрогнозировали сроки завершения конфликта на Украине ,22:47 23.05.2025,https://ria.ru/20250523/ukraina-2018786400.html,Банк JPMorgan: украинский конфликт завершится к июлю 2025 года,"Специальная военная операция на Украине,В мире,Украина,Россия,Москва,Сергей Лавров,Владимир Путин,Дональд Трамп,США"
"Фредди Меркьюри скрывал, что у него есть дочь, пишут СМИ ",22:43 23.05.2025,https://ria.ru/20250523/shoubiz-2018785996.html,"Daily Mail: Фредди Меркьюри скрывал, что у него есть дочь, ей сейчас 48 лет","Шоубиз,Европа,Лондон,Фредди Меркьюри (Фаpух Булсара),Queen,В мире"
Украинские атаки на Москву вызвали ярость в Китае ,22:43 23.05.2025,https://ria.ru/20250523/moskva-2018785225.html,None,"Технологии,В мире,Москва,Россия,Украина,Сергей Собянин"
В Госдуме назвали ошибкой планы Британии сковать флот России в Черном море ,22:37 23.05.2025,https://ria.ru/20250523/gosduma-2018785393.html,Депутат Ивлев назвал планы Британии сковать флот России в Черном море ошибкой,"Великобритания,Россия,Украина,Леонид Ивлев,Андрей Келин,Сергей Лавров,Вооруженные силы Украины,НАТО,Госдума РФ,Су-24,В мире"
Трамп подписал указы о развитии атомной энергетики в США ,22:31 23.05.2025,https://ria.ru/20250523/tramp-2018784866.html,"Трамп подписал указы, направленные на ускоренное развитие атомной энергетики","В мире,США,Дональд Трамп"
В Киеве и восьми украинских областях объявили воздушную тревогу ,22:13 23.05.2025,https://ria.ru/20250523/trevoga-2018783488.html,"В Киеве, Сумской, Полтавской и еще 6 областях объявили воздушную тревогу","Специальная военная операция на Украине,В мире,Киев,Украина,Россия,Дмитрий Песков,Вооруженные силы Украины"
Число пострадавших при нападении с ножом в Гамбурге выросло до 17 человек ,22:10 23.05.2025,https://ria.ru/20250523/germaniya-2018783320.html,Spiegel: 17 человек пострадали во время нападения с ножом на вокзале Гамбурга,"В мире,Гамбург (город),Германия"
Фомин поблагодарил Белоруссию за помощь в организации обмена пленными ,22:07 23.05.2025,https://ria.ru/20250523/rossija-2018783058.html,Фомин поблагодарил Минск за помощь в возвращении российских военных из плена,"В мире,Здоровье - Общество,Россия,Белоруссия,Курская область,Александр Фомин,Вооруженные силы Украины"
Мирный житель пострадал при подрыве на взрывоопасном предмете в ДНР ,22:06 23.05.2025,https://ria.ru/20250523/dnr-2018782898.html,Пушилин: мужчина пострадал при подрыве на взрывоопасном предмете в Новоукраинке,"В мире,Донецкая Народная Республика,Украина,Денис Пушилин"
Симоньян ответила на опасения американских сенаторов ,21:55 23.05.2025,https://ria.ru/20250523/simonjan-2018782271.html,Симоньян ответила американским сенаторам: Голос Америки мечтает быть аналогом RT,"В мире,Россия,США,Маргарита Симоньян,Джин Шахин,Санкции в отношении России"
В Гамбурге задержали подозреваемую в нападении с ножом 39-летнюю женщину ,21:39 23.05.2025,https://ria.ru/20250523/zaderzhanie-2018781478.html,По делу о нападении с ножом на вокзале в Гамбурге задержали 39-летнюю женщину,"Гамбург (город),Германия,В мире"
Гонконгский университет пригласил к себе иностранных студентов из Гарварда ,21:35 23.05.2025,https://ria.ru/20250523/universitet-2018781222.html,Гонконгский университет пригласил на обучение иностранных студентов из Гарварда,"В мире,Дональд Трамп,Гонконг,США,Гарвардский университет"
Трамп хочет запретить и другим университетам прием иностранных студентов ,21:32 23.05.2025,https://ria.ru/20250523/universitety-2018781075.html,Трамп не исключил запрета на прием иностранных студентов в других университетах,"США,Дональд Трамп,В мире,Ближний Восток,Израиль,ХАМАС"
"В Минске задержали мужчину, обвиняемого в похищении дочери ",21:31 23.05.2025,https://ria.ru/20250523/belorussiya-2018780855.html,"В Минске задержали мужчину, находившегося в розыске за похищение дочери","Россия,Минск,Белоруссия,Владимир Колокольцев,Ирина Волк,В мире"
В Киеве обратили внимание на одну деталь в отношении Трампа к Зеленскому ,21:30 23.05.2025,https://ria.ru/20250523/zelenskiy-2018780495.html,Дубинский: Зеленский является раздражающим фактором для Трампа,"В мире,США,ЮАР,Украина,Владимир Зеленский,Дональд Трамп,Александр Дубинский,Верховная Рада Украины"
"Трамп рассказал, чего хочет добиться 50-процентными пошлинами ",21:27 23.05.2025,https://ria.ru/20250523/poshliny-2018780377.html,Трамп: пошлины в 50% заставят европейские компании перенести производство в США,"США,Дональд Трамп,Введение Трампом пошлин на импорт,В мире,Европа,Экономика"
Reuters написал о продаже иностранного алкоголя в США на фоне новых пошлин ,21:10 23.05.2025,https://ria.ru/20250523/ssha-2018778715.html,Reuters: в случае новых пошлин французский коньяк не смогут продавать в США,"США,Китай,Дональд Трамп,Евросоюз,Введение Трампом пошлин на импорт,В мире"
"Украинские пленные заявили, что больше не будут воевать против России ",21:08 23.05.2025,https://ria.ru/20250523/plennye-2018778231.html,"Пленные ВСУ перед обменом заявили, что лучше попасть в тюрьму, чем воевать с РФ","Специальная военная операция на Украине,В мире,Россия,Украина,Курская область,Владимир Мединский,Вооруженные силы Украины"
Эрдоган высказался об обмене пленными между Россией и Украиной ,21:05 23.05.2025,https://ria.ru/20250523/ukraina-2018777983.html,Эрдоган назвал обмен пленными между Россией и Украиной важным шагом,"В мире,Россия,Украина,Турция,Реджеп Тайип Эрдоган,Педро Санчес,Владимир Мединский,Вооруженные силы Украины,Евросоюз,Переговоры России и Украины в Стамбуле — 2025"
Трамп примет участие в саммите НАТО в Гааге ,20:51 23.05.2025,https://ria.ru/20250523/tramp-2018776532.html,Постпред США при НАТО: Трамп примет участие в саммите в Гааге,"В мире,США,Гаага,Европа,Дональд Трамп,НАТО,Атлантический совет"
"""Не наше дело"": в США сделали жесткое признание по Украине ",20:48 23.05.2025,https://ria.ru/20250523/ssha-2018776212.html,Макгрегор призвал США немедленно выйти из украинского конфликта,"Специальная военная операция на Украине,В мире,США,Украина,Европа,Дональд Трамп,Джо Байден,Сергей Лавров,Россия"
"""Нужна война"". На Западе резко предостерегли США из-за России и Украины ",20:47 23.05.2025,https://ria.ru/20250523/ssha-2018775341.html,Шрайвер: США не следует вмешиваться в украинский конфликт,"Специальная военная операция на Украине,В мире,США,Россия,Украина,Дональд Трамп,Джо Байден,Сергей Лавров"
Полиция Гамбурга заявила о задержании нападавшего на вокзале ,20:19 23.05.2025,https://ria.ru/20250523/germaniya-2018772821.html,Полиция Германии заявила о задержании нападавшего с ножом на вокзале в Гамбурге,"Гамбург (город),В мире,Bild,Германия"
В США раскрыли главное желание Трампа по Украине ,20:08 23.05.2025,https://ria.ru/20250523/tramp-2018771630.html,Bloomberg: Трамп хочет скорее покончить с проблемой Украины,"Специальная военная операция на Украине,В мире,Украина,США,Дональд Трамп,Сергей Лавров,Россия"
Количество пострадавших от нападения в Гамбурге увеличилось до 12 человек ,20:08 23.05.2025,https://ria.ru/20250523/germaniya-2018771530.html,NDR: количество пострадавших от нападения в Гамбурге увеличилось до 12 человек,"Гамбург (город),В мире,Bild,Германия"
В Крыму назвали скудоумием заявление Верещук о России ,20:02 23.05.2025,https://ria.ru/20250523/ukraina-2018770568.html,Крымский депутат Цеков назвал скудоумием заявление Верещук о России,"Россия,Украина,Ирина Верещук,Сергей Цеков,Владимир Зеленский,Верховная Рада Украины,В мире"
Восемь человек пострадали после нападения с ножом на вокзале в Гамбурге  ,19:56 23.05.2025,https://ria.ru/20250523/bild-2018770111.html,Bild: восемь человек пострадали после нападения с ножом на вокзале в Гамбурге ,"Гамбург (город),В мире,Bild,Германия"
Генсек ООН пригласил папу римского посетить организацию ,19:53 23.05.2025,https://ria.ru/20250523/oon-2018769818.html,Генсек ООН Гутерреш пригласил папу римского посетить организацию,"В мире,Антониу Гутерреш,Фархан Хак,ООН,Новый Папа Римский"
В ООН поприветствовали обмен пленными между Россией и Украиной ,19:50 23.05.2025,https://ria.ru/20250523/oon-2018769615.html,"В ООН выразили надежду, что обмен пленными между Россией и Украиной продолжится","В мире,Здоровье - Общество,Россия,Курская область,Белоруссия,Фархан Хак,Вооруженные силы Украины,Переговоры России и Украины в Стамбуле — 2025"
Лавров рассказал о работе над документами по урегулированию на Украине ,19:46 23.05.2025,https://ria.ru/20250523/rossija-2018769416.html,"МИД: РФ будет работать над документами по урегулированию, несмотря на провокации","В мире,Россия,Москва,Киев,Сергей Лавров,Владимир Путин,Евросоюз"
Экс-глава МО Армении высказался о закупке западного вооружения ,19:45 23.05.2025,https://ria.ru/20250523/armenija-2018769243.html,Экс-глава МО Армении Карапетян: 90% купленного у Запада оружия нельзя применять,"Армения,Франция,Ереван,Себастьян Лекорню,В мире"
"Москалькова заявила о более 30 курянах, удерживаемых Украиной в Сумах ",19:43 23.05.2025,https://ria.ru/20250523/sumy-2018769071.html,Москалькова: Украина продолжает удерживать в Сумах 34 жителя Курской области,"В мире,Здоровье - Общество,Россия,Курская область,Белоруссия,Татьяна Москалькова,Вооруженные силы Украины,Украина"
Минобороны показало видео возвращения гражданских лиц из украинского плена ,19:39 23.05.2025,https://ria.ru/20250523/ukraina-2018768473.html,Минобороны показало видео возвращения гражданских лиц из плена ВСУ,"Министерство обороны РФ (Минобороны РФ),Вооруженные силы Украины,В мире"
"Лидеры ЕС надеются вернуть Трампа в антироссийский лагерь, заявил Лавров ",19:35 23.05.2025,https://ria.ru/20250523/lavrov-2018767946.html,Лавров: в ЕС хотят разделить с США ответственность за террор киевского режима,"В мире,Украина,Россия,США,Сергей Лавров,Дональд Трамп,Эммануэль Макрон,НАТО,Евросоюз"
"Россия ждет реакции ООН на украинские атаки, заявил Лавров ",19:30 23.05.2025,https://ria.ru/20250523/ukraina-2018767386.html,Лавров: Россия ожидает реакцию ООН на атаки Киева по гражданским объектам,"Специальная военная операция на Украине,В мире,Москва,Киев,Украина,Сергей Лавров,ООН,Переговоры России и Украины в Стамбуле — 2025"
Лавров высказался об увеличении атак Киева по России ,19:30 23.05.2025,https://ria.ru/20250523/lavrov-2018767242.html,Лавров: связь между атаками Киева и визитами политиков ЕС невозможно не видеть,"В мире,Россия,Киев,Украина,Сергей Лавров"
Лавров: Киеву передадут проект об урегулировании после обмена пленными ,19:25 23.05.2025,https://ria.ru/20250523/lavrov-2018766674.html,Лавров: РФ передаст Украине проект урегулирования кризиса после обмена пленными,"В мире,Россия,Стамбул,Киев,Сергей Лавров"
На Западе сделали шокирующее предупреждение о России и Украине ,19:17 23.05.2025,https://ria.ru/20250523/ukraina-2018762993.html,"Фази: страны, у которых Запад требует отвернуться от РФ, ждет незавидная судьба","В мире,Россия,Сербия,Москва,Кайя Каллас,Александр Вучич,Владимир Путин,Евросоюз,НАТО"
В США приостановили запрет на прием иностранных студентов в Гарвард ,19:14 23.05.2025,https://ria.ru/20250523/ssha-2018764782.html,Суд в США приостановил действие запрета на прием иностранных студентов в Гарвард,"В мире,США,Массачусетс,Ближний Восток,Дональд Трамп,Гарвардский университет,ХАМАС"
Золото дорожает из-за неопределенности на мировых рынках ,19:12 23.05.2025,https://ria.ru/20250523/zoloto-2018764330.html,Цена на золото растет на фоне неопределенности на мировых рынках,"Цены на нефть,США,Дональд Трамп,Евросоюз,Введение Трампом пошлин на импорт,В мире"
"Период бесспорного господства США закончился, заявил Вэнс ",19:08 23.05.2025,https://ria.ru/20250523/ssha-2018763567.html,Вице-президент Вэнс: Россия и Китай оспаривают господство США во всех сферах,"В мире,США,Китай,Россия,Марко Рубио"
Иран предложил США механизмы для устранения препятствий на переговорах ,18:56 23.05.2025,https://ria.ru/20250523/iran-2018761810.html,Министр Аракчи предложил новые механизмы в переговорах между США и Ираном,"В мире,Иран,Оман,США,Аббас Аракчи,Обострение отношений США и Ирана"
Эксперт оценил экономические потери США и ЕС из-за пошлин ,18:52 23.05.2025,https://ria.ru/20250523/poshliny-2018760557.html,Ковригин: США и ЕС могут потерять более 200 млрд долларов за год из-за пошлин,"Экономика,США,Китай,Дональд Трамп,Евросоюз,РЭУ имени Г. В. Плеханова,Введение Трампом пошлин на импорт,В мире"
"""Это унизительно!"" Во Франции высмеяли угрозы G7 в адрес России ",18:52 23.05.2025,https://ria.ru/20250523/frantsiya-2018760281.html,None,"В мире,Россия,Франция,Владимир Путин,G7,Санкции в отношении России"
